Vivado Simulator 2020.2
Time resolution is 1 ps
                  time     a            b        op  overflow  result
                   0    1010       0100     000     0       1110
                  10    1010       0100     001     0       0110
                  20    1010       0100     100     0       0000
                  30    1010       0100     101     0       1110
                  40    1010       0100     110     0       1110
                  50    1010       0100     111     0       0001
                  80    0101       1011     000     1       0000
                  90    0101       1011     001     1       1010
                 100    0101       1011     100     0       0001
                 110    0101       1011     101     0       1111
                 120    0101       1011     110     0       1110
                 130    0101       1011     111     0       0000
$finish called at time : 150 ns : File "D:/digitlogic/11211125-2/11211125/lab2/lab2-6/tb_ALU.v" Line 34
